"#","Titolo","Perché fa per te","Difficoltà°°","Skill richieste","Guadagno mensile","Tempo","Tipo attività","Prompt Effettivo"
"1","Genera 20 idee di micro-SaaS che posso costruire in 1-2 settimane usando React + Spring Boot, risolvendo problemi specifici di nicchie piccole ma disposte a pagare (es. tracker per collezionisti, gestionali per piccoli business locali)","Crei un tracker per collezionisti di carte Magic (tua nicchia!) con feature premium a 5€/mese","Avanzato","Java, React, Spring","100-300€","10-14 giorni","Micro-SaaS","Sei un esperto di micro-SaaS. Analizza le mie skill (React, Spring Boot, Java) e i miei interessi (Magic: The Gathering, gaming, collezionismo). Genera 20 idee di micro-SaaS che posso costruire in 1-2 settimane, risolvendo problemi specifici di nicchie piccole ma disposte a pagare. Per ogni idea specifica: problema risolto, feature essenziali, pricing consigliato, come trovare i primi 10 clienti."
"53","Scrivi 10 script di sincronizzazione file (es. locale ↔ cloud, multi-device sync) e vendili","Script 'Auto Sync Dev Environment', venduto a 7€","Intermedio","Bash, Java","35-100€","2-3 giorni","Automazione","Sei un sysadmin esperto. Identifica 10 scenari di sync file (locale→cloud, multi-device, backup incrementale, sync cartelle specifiche). Per ognuno scrivi uno script Bash/Python completo, con gestione conflitti, logging. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (7€ a script o 25€ bundle)."
"54","Crea 20 idee di micro-corsi su skill iper-specifiche (es. 'Docker per Spring Dev', 'React Hooks avanzati') su Udemy","Corso 'Docker + Spring Boot' a 14€, 8 vendite/mese","Intermedio","Java, Docker, writing","70-200€","5-7 giorni","Content","Sei un instructional designer. Genera 20 idee di micro-corsi su skill iper-specifiche (Docker per Spring, React Hooks avanzati, Git workflows, Testing JUnit). Per ognuno: titolo, cosa imparano, struttura (3-5 sezioni, 10-15 video), prezzo (12-18€). Scegli le 3 migliori e scrivi la descrizione completa del corso per Udemy."
"55","Genera 15 snippet di Spring Boot starter per use case comuni (es. auth, logging, caching) e vendili","Pacchetto 'Spring Starters Collection', venduto a 9€","Intermedio","Java, Spring","45-130€","3-4 giorni","Prodotti digitali","Sei un Spring expert. Scrivi 15 snippet di configurazione Spring Boot per use case comuni (JWT auth, Redis caching, logging strutturato, email sending, file upload). Per ognuno: dipendenze, config, esempi uso. Organizza in pacchetti. Crea la pagina Gumroad: titolo ('Spring Boot Starters'), descrizione, prezzo (9€), anteprima 3 snippet."
"56","Scrivi 10 guide 'Stack tecnologico per X tipo di app' e monetizza con affiliate link a hosting/tool","Guida 'Stack per SaaS MVP', affiliate hosting","Principiante","writing","30-100€","2 giorni","Content","Sei un technical architect. Identifica 10 tipi di app (SaaS MVP, e-commerce, blog, marketplace, mobile app). Per ognuna scrivi una guida: stack consigliato (frontend, backend, DB, hosting), costi, pro/contro, affiliate link a hosting/tool. Formato: 2000 parole, diagramma architettura. Pubblica su Medium/Dev.to."
"57","Crea 20 template di user story/use case per progetti software e vendili","Pacchetto 'Agile User Stories Pack', venduto a 6€","Intermedio","writing","30-80€","1-2 giorni","Prodotti digitali","Sei un Agile coach. Scrivi 20 template di user story e use case per diversi tipi di feature (login, CRUD, report, notification, payment). Per ognuno: formato standard (Come... Voglio... Affinché...), acceptance criteria, esempi. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (6€), anteprima 5 template."
"58","Genera 15 idee di tool per debugging (es. log visualizer, API tester, state inspector) e vendili","Tool 'Spring Actuator Dashboard', venduto a 8€","Intermedio","Java, Spring, React","40-120€","4-6 giorni","Micro-SaaS","Sei un debugging tool expert. Trova 15 idee di tool per debugging (log visualizer, API tester, state inspector, memory profiler). Per ogni idea: feature, target, pricing (8-15€). Scegli le 3 migliori e scrivi il codice completo del tool (Java/React), pronto per vendere."
"59","Scrivi 10 script di deployment automatizzato (es. one-click deploy su VPS, Docker compose updater) e offri servizio","Servizio 'Setup Auto-Deploy' a 45€","Intermedio","Docker, Bash, Git","55-160€","3-4 giorni","Freelancing","Sei un DevOps engineer. Identifica 10 scenari di deployment (VPS, Docker, Kubernetes, serverless). Per ognuno scrivi uno script Bash/Python completo, con rollback, health check. Crea la pagina Fiverr: titolo ('Deployment Automatizzato'), servizi, pricing (45-90€ a setup), delivery."
"60","Crea 20 idee di contenuti YouTube tecnici (es. 'Build X in 10 min', 'Errori da evitare') monetizzabili con ads/sponsor","Video 'Spring Boot Tutorial', ads + sponsor","Intermedio","Java, writing","50-150€","3-5 giorni/video","Content","Sei un YouTube strategist. Genera 20 idee di video tecnici per developer (tutorial, errori comuni, live coding, tool review). Per ognuno: titolo, struttura (intro, step, outro), durata, CTA. Scegli le 3 migliori e scrivi lo script completo del video (2000 parole, timestamp, snippet codice)."
"61","Genera 15 template di business plan per startup tech e vendili su Gumroad","Pacchetto 'Tech Business Plan Templates', venduto a 8€","Principiante","writing","35-100€","2 giorni","Prodotti digitali","Sei un business consultant. Scrivi 15 template di business plan per startup tech (SaaS, marketplace, app, e-commerce). Per ognuno: sezioni (executive summary, market analysis, revenue model, costs), esempi contenuto. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (8€), anteprima 3 template."
"62","Scrivi 10 script di generazione report (es. analytics exporter, test coverage summary) e vendili","Script 'Auto Test Report Generator', venduto a 6€","Intermedio","Java, JUnit","30-90€","2-3 giorni","Automazione","Sei un developer esperto. Identifica 10 tipi di report utili (analytics, test coverage, code quality, performance). Per ognuno scrivi uno script Java/Python completo, con export PDF/Excel. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (6€ a script o 20€ bundle)."
"63","Crea 20 idee di pacchetti di icone/asset per sviluppatori (es. UI icons, diagram templates) e vendili","Pacchetto 'Dev Flowchart Icons', venduto a 7€","Intermedio","design base","35-100€","2-3 giorni","Prodotti digitali","Sei un designer. Trova 20 idee di pacchetti asset per developer (UI icons, flowchart templates, mockup, diagrammi). Per ogni idea: contenuto, formato (SVG, PNG, Figma), pricing (7-12€). Scegli le 3 migliori e crea gli asset completi, pronto per vendere su Gumroad/Creative Market."
"64","Genera 15 snippet di React component per use case comuni (es. data table, form wizard, chart wrapper) e vendili","Pacchetto 'React Pro Components', venduto a 10€","Intermedio","React, JS","50-150€","4-5 giorni","Prodotti digitali","Sei un React expert. Scrivi 15 component React per use case comuni (data table con sorting, form wizard, chart wrapper, modal, infinite scroll). Per ognuno: codice completo, props, esempi uso, responsive. Organizza in una libreria. Crea la pagina Gumroad: titolo ('React Pro Components'), descrizione, prezzo (10€), demo, anteprima 3 component."
"65","Scrivi 10 guide 'Come passare da X a Y' (es. da monolite a microservizi, da JS a TS) e monetizza","Guida 'Monolite → Microservizi', affiliate corsi","Intermedio","Java, Spring, writing","40-120€","3 giorni","Content","Sei un technical writer. Identifica 10 transizioni comuni (monolite→microservizi, JS→TS, MySQL→Postgres, on-prem→cloud). Per ognuna scrivi una guida: perché, step, errori da evitare, risorse. Formato: 3000 parole, diagrammi, snippet. Inserisci affiliate link a corsi. Pubblica su Medium/Dev.to."
"66","Crea 20 template di email per job application tech (CV, follow-up, negotiation) e vendili","Pacchetto 'Tech Job Email Templates', venduto a 5€","Principiante","writing","25-70€","1 giorno","Prodotti digitali","Sei un career coach tech. Scrivi 20 template di email per job application (cover letter, follow-up, salary negotiation, decline offer, referral request). Per ognuno: quando usarlo, oggetto, corpo, CTA. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (5€), anteprima 5 template."
"67","Genera 15 idee di hackathon project con potenziale di monetizzazione post-evento","Project 'MTG Deck Builder', premium features","Intermedio","Java, React","50-150€","5-7 giorni","Micro-SaaS","Sei un hackathon mentor. Trova 15 idee di project per hackathon con potenziale di monetizzazione (SaaS, app, tool, platform). Per ogni idea: problema, soluzione, feature MVP, come monetizzare dopo (premium, subscription). Scegli le 3 migliori e scrivi il piano di sviluppo completo (48h hackathon + post-evento)."
"68","Scrivi 10 script di validazione input (es. form validator, API payload checker) e vendili come libreria","Libreria 'Input Validator Pro', venduta a 6€","Principiante","Java, JS","30-80€","2 giorni","Prodotti digitali","Sei un developer esperto. Scrivi 10 script di validazione input (email, phone, credit card, JSON schema, API payload). Per ognuno: codice completo, regex, esempi uso, test. Organizza in una libreria. Crea la pagina Gumroad: titolo ('Input Validator Pro'), descrizione, prezzo (6€), demo, anteprima 3 validator."
"69","Crea 20 idee di partnership con micro-influencer tech per co-creare prodotti digitali","Co-corso 'Spring + React' con influencer, revenue split","Intermedio","Java, writing","60-180€","3-5 giorni","Content","Sei un partnership strategist. Trova 20 idee di prodotti co-creati con micro-influencer tech (corsi, ebook, template, tool). Per ogni idea: tipo influencer, prodotto, revenue split (50/50, 60/40), come approcciare. Scegli le 3 migliori e scrivi la email di outreach + accordo partnership."
"70","Genera 15 template di Sprint planning per team agile e vendili su Gumroad","Pacchetto 'Sprint Planning Templates', venduto a 6€","Intermedio","writing","30-80€","1-2 giorni","Prodotti digitali","Sei un Agile coach. Scrivi 15 template di Sprint planning (Sprint goal, backlog refinement, retro, daily, review). Per ognuno: struttura, domande guida, esempi. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (6€), anteprima 3 template."
"71","Scrivi 10 script di caching automatizzato (es. Redis setup, query cache optimizer) e offri servizio","Servizio 'Setup Redis Caching' a 40€","Intermedio","Java, Spring, Docker","50-150€","3-4 giorni","Freelancing","Sei un performance engineer. Identifica 10 scenari di caching (Redis, query cache, HTTP cache, CDN). Per ognuno scrivi uno script/configurazione completa. Crea la pagina Fiverr: titolo ('Setup Caching Performance'), servizi, pricing (40-80€ a setup), delivery."
"72","Crea 20 idee di bundle di prodotti digitali (es. 'Starter Pack Freelance Dev') e vendili","Bundle 'Freelance Dev Toolkit', venduto a 15€","Intermedio","writing","60-180€","3-4 giorni","Prodotti digitali","Sei un product bundler. Trova 20 idee di bundle di prodotti digitali per developer (freelance pack, startup pack, learning pack). Per ogni bundle: cosa include, valore totale, prezzo bundle (15-25€), pagina vendita. Scegli le 3 migliori e crea la pagina Gumroad completa per ogni bundle."
"73","Genera 15 snippet di Spring Security per scenari comuni (es. JWT auth, OAuth2, role-based) e vendili","Pacchetto 'Spring Security Snippets', venduto a 9€","Intermedio","Java, Spring","45-130€","3-4 giorni","Prodotti digitali","Sei un Spring Security expert. Scrivi 15 snippet per scenari comuni (JWT auth, OAuth2 login, role-based access, CORS, CSRF). Per ognuno: codice, config, esempi uso. Organizza in pacchetti. Crea la pagina Gumroad: titolo ('Spring Security Snippets'), descrizione, prezzo (9€), anteprima 3 snippet."
"74","Scrivi 10 guide 'Best practices per X' (es. API design, Docker optimization) e monetizza con affiliate","Guida 'REST API Best Practices', affiliate libri","Principiante","Java, Spring, writing","30-100€","2 giorni","Content","Sei un technical writer. Identifica 10 argomenti best practices (API design, Docker, Git, testing, security). Per ognuno scrivi una guida: principi, esempi good/bad, checklist. Formato: 2500 parole, snippet, diagrammi. Inserisci affiliate link a libri/corsi. Pubblica su Medium/Dev.to."
"75","Crea 20 template di technical specification document e vendili","Pacchetto 'Tech Spec Templates', venduto a 6€","Intermedio","writing","30-80€","1-2 giorni","Prodotti digitali","Sei un technical architect. Scrivi 20 template di technical specification (feature spec, API spec, architecture doc, migration plan). Per ognuno: sezioni, esempi contenuto, best practice. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (6€), anteprima 3 template."
"76","Genera 15 idee di tool per code review (es. auto-commenter, style checker, complexity analyzer)","Tool 'Auto Code Review Assistant', venduto a 8€","Intermedio","Java, Git","40-120€","4-6 giorni","Micro-SaaS","Sei un code review expert. Trova 15 idee di tool per code review (auto-comment, style check, complexity analysis, security scan). Per ogni idea: feature, target, pricing (8-15€). Scegli le 3 migliori e scrivi il codice completo del tool, pronto per vendere."
"77","Scrivi 10 script di notifica automatizzata (es. Slack alert, Telegram bot per deploy/monitoring)","Bot 'Deploy Alert Telegram', setup a 25€","Intermedio","Java, Spring","40-120€","2-3 giorni","Automazione","Sei un notification system expert. Identifica 10 scenari di notifica (deploy, error alert, scheduled task, performance threshold). Per ognuno scrivi uno script Java/Python completo con integrazione Slack/Telegram. Organizza in pacchetti. Crea la pagina Fiverr: titolo, servizi, pricing (25€ setup), delivery."
"78","Crea 20 idee di membership site per sviluppatori (es. contenuti premium, community) su Patreon/Ko-fi","Membership 'Spring Tips Premium', 5€/mese","Intermedio","Java, writing","60-180€","5-7 giorni setup","Content","Sei un membership strategist. Trova 20 idee di membership site per developer (tips settimanali, code review, Q&A, template library). Per ogni idea: cosa offri, pricing (3-10€/mese), piattaforma (Patreon, Ko-fi, Substack). Scegli le 3 migliori e scrivi la pagina di lancio completa."
"79","Genera 15 template di post-mortem/incident report per team tech e vendili","Pacchetto 'Incident Report Templates', venduto a 5€","Principiante","writing","25-70€","1 giorno","Prodotti digitali","Sei un SRE expert. Scrivi 15 template di post-mortem/incident report (outage, bug critico, performance issue, security incident). Per ognuno: sezioni (timeline, root cause, action items), esempi. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (5€), anteprima 3 template."
"80","Scrivi 10 script di ottimizzazione query database (es. index suggester, slow query detector) e offri servizio","Servizio 'DB Query Optimization' a 45€","Intermedio","Java, Spring","55-160€","3-4 giorni","Freelancing","Sei un DB optimization expert. Identifica 10 scenari di ottimizzazione query (index analysis, slow query detection, query rewrite). Per ognuno scrivi uno script Java/Python completo. Crea la pagina Fiverr: titolo ('Ottimizzazione Query Database'), servizi, pricing (45-90€), delivery."
"81","Crea 20 idee di prodotti digitali per studenti di informatica (es. appunti strutturati, eserciziari, template progetti)","Pacchetto 'Appunti Spring Boot', venduto a 7€","Intermedio","Java, writing","40-120€","3-4 giorni","Prodotti digitali","Sei un student success expert. Trova 20 idee di prodotti per studenti di informatica (appunti, eserciziari, template progetti, cheat sheet). Per ogni idea: contenuto, formato, pricing (5-10€). Scegli le 3 migliori e crea il prodotto completo, pronto per vendere su Gumroad."
"82","Genera 15 snippet di React hooks custom per use case comuni (es. API fetch, form handling, localStorage) e vendili","Pacchetto 'Custom React Hooks', venduto a 8€","Intermedio","React, JS","40-120€","3-4 giorni","Prodotti digitali","Sei un React hooks expert. Scrivi 15 custom hooks per use case comuni (useFetch, useForm, useLocalStorage, useDebounce, useIntersectionObserver). Per ognuno: codice, esempi uso, test. Organizza in una libreria. Crea la pagina Gumroad: titolo ('Custom React Hooks Pack'), descrizione, prezzo (8€), demo, anteprima 3 hooks."
"83","Scrivi 10 guide 'Come costruire il tuo primo X' (es. SaaS, API, Chrome extension) e monetizza","Guida 'Primo SaaS con Spring', affiliate hosting","Intermedio","Java, Spring, writing","40-120€","3 giorni","Content","Sei un technical writer. Identifica 10 'primi progetti' per developer (primo SaaS, prima API, prima extension, primo bot). Per ognuno scrivi una guida: step-by-step, codice, deploy, monetizzazione. Formato: 3000 parole, screenshot, snippet. Inserisci affiliate link. Pubblica su Medium/Dev.to."
"84","Crea 20 template di onboarding document per nuovi sviluppatori in team e vendili","Pacchetto 'Dev Onboarding Templates', venduto a 6€","Intermedio","writing","30-80€","1-2 giorni","Prodotti digitali","Sei un engineering manager. Scrivi 20 template di onboarding per nuovi developer (setup ambiente, primi task, documentazione, buddy system). Per ognuno: struttura, checklist, esempi. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (6€), anteprima 3 template."
"85","Genera 15 idee di contest/giveaway tech per crescere audience e monetizzare post-evento","Contest 'Best Spring Project', sponsor + upsell","Intermedio","Java, writing","50-150€","4-6 giorni","Content","Sei un growth strategist. Trova 15 idee di contest/giveaway per developer (best project, code challenge, bug hunt). Per ogni idea: regole, prize, sponsor, come monetizzare dopo (corsi, consulenza). Scegli le 3 migliori e scrivi il piano completo del contest (landing page, regole, timeline)."
"86","Scrivi 10 script di generazione documentazione automatica (es. Javadoc enhancer, API docs generator)","Script 'Auto API Docs Generator', venduto a 7€","Intermedio","Java, Spring","35-100€","2-3 giorni","Automazione","Sei un documentation expert. Identifica 10 scenari di generazione docs automatica (Javadoc, API docs, changelog, architecture diagram). Per ognuno scrivi uno script Java/Python completo. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (7€ a script o 25€ bundle)."
"87","Crea 20 idee di affiliate marketing per tool che usi già (es. hosting, IDE, corsi) con contenuti tecnici","Review 'Miglior Hosting per Spring', affiliate","Intermedio","writing","40-120€","2-3 giorni","Content","Sei un affiliate marketing expert. Trova 20 idee di contenuti con affiliate link (review hosting, IDE comparison, corsi consigliati, tool stack). Per ogni idea: formato (articolo, video, thread), affiliate program, earning potenziale. Scegli le 3 migliori e scrivi il contenuto completo (2000 parole, link affiliato)."
"88","Genera 15 template di retrospective meeting per team agile e vendili","Pacchetto 'Agile Retrospective Templates', venduto a 5€","Principiante","writing","25-70€","1 giorno","Prodotti digitali","Sei un Agile coach. Scrivi 15 template di retrospective meeting (Start-Stop-Continue, 4L, Sailboat, Mad-Sad-Glad). Per ognuno: struttura, domande guida, timing, esempi. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (5€), anteprima 3 template."
"89","Scrivi 10 script di monitoring performance (es. API response time tracker, memory usage alert) e offri servizio","Servizio 'Performance Monitoring Setup' a 50€","Intermedio","Java, Spring, Docker","60-180€","4-5 giorni","Freelancing","Sei un performance engineer. Identifica 10 metriche di performance da monitorare (response time, throughput, error rate, memory, CPU). Per ognuna scrivi uno script/configurazione completa. Crea la pagina Fiverr: titolo ('Performance Monitoring'), servizi, pricing (50-100€ setup), delivery."
"90","Crea 20 idee di prodotti 'done-for-you' per sviluppatori (es. config pronta, template completo, script custom)","Servizio 'Spring Boot Config Pronto' a 30€","Intermedio","Java, Spring","50-150€","2-3 giorni","Freelancing","Sei un productizer. Trova 20 idee di prodotti 'done-for-you' (config Spring, Docker setup, CI/CD pipeline, landing page). Per ogni idea: cosa includi, pricing (30-60€), pagina vendita. Scegli le 3 migliori e crea la pagina Fiverr/Gumroad completa per ogni servizio."
"91","Genera 15 snippet di Dockerfile ottimizzati per linguaggi/framework (es. Java, Node, Python) e vendili","Pacchetto 'Optimized Dockerfiles', venduto a 7€","Principiante","Docker, Java","35-100€","2 giorni","Prodotti digitali","Sei un Docker expert. Scrivi 15 Dockerfile ottimizzati per linguaggi/framework (Java/Spring, Node, Python, Go, PHP). Per ognuno: multi-stage build, best practice, security, size optimization. Organizza in pacchetti. Crea la pagina Gumroad: titolo ('Optimized Dockerfiles Pack'), descrizione, prezzo (7€), anteprima 3 Dockerfile."
"92","Scrivi 10 guide 'Come scalare X' (es. API, database, frontend) e monetizza con affiliate/consulenze","Guida 'Scalare Spring Boot', upsell consulenza","Intermedio","Java, Spring, writing","45-130€","3 giorni","Content","Sei un scalability expert. Identifica 10 scenari di scaling (API, database, frontend, cache, queue). Per ognuno scrivi una guida: pattern, trade-off, esempi, costi. Formato: 3000 parole, diagrammi, snippet. Inserisci affiliate link e CTA per consulenza. Pubblica su Medium/Dev.to."
"93","Crea 20 template di KPI dashboard per startup tech e vendili","Pacchetto 'Tech Startup KPI Templates', venduto a 8€","Principiante","writing","35-100€","2 giorni","Prodotti digitali","Sei un metrics expert. Scrivi 20 template di KPI dashboard per startup (SaaS metrics, e-commerce, marketplace, app). Per ognuno: KPI da tracciare, formula, target, tool (Excel, Notion, Google Sheets). Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (8€), anteprima 3 template."
"94","Genera 15 idee di prodotti stagionali per sviluppatori (es. 'Black Friday Deal Pack', 'New Year Learning Bundle')","Bundle 'Black Friday Dev Deals', venduto a 12€","Intermedio","writing","50-150€","3-4 giorni","Prodotti digitali","Sei un seasonal marketer. Trova 15 idee di prodotti stagionali (Black Friday bundle, New Year learning pack, Back to school, Summer challenge). Per ogni idea: cosa includi, pricing scontato, landing page. Scegli le 3 migliori e crea la pagina Gumroad completa per ogni prodotto."
"95","Scrivi 10 script di automazione social per developer personal brand (es. auto-post GitHub activity, blog cross-poster)","Script 'GitHub Auto-Poster', venduto a 6€","Intermedio","Git, JS","30-90€","2-3 giorni","Automazione","Sei un personal branding expert. Identifica 10 task di automazione social per developer (auto-post GitHub activity, cross-post blog, schedule content, analytics). Per ognuno scrivi uno script Python/JS completo. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (6€ a script o 20€ bundle)."
"96","Crea 20 idee di prodotti evergreen per sviluppatori (es. cheat sheet, reference card, quick start guide)","Pacchetto 'Spring Boot Cheat Sheet', venduto a 4€","Intermedio","Java, writing","30-80€","1-2 giorni","Prodotti digitali","Sei un product strategist. Trova 20 idee di prodotti evergreen (cheat sheet, reference card, quick start guide, checklist). Per ogni idea: contenuto, formato (PDF, Notion), pricing (4-8€). Scegli le 3 migliori e crea il prodotto completo, pronto per vendere su Gumroad."
"97","Genera 15 snippet di Spring Data JPA per query comuni (es. pagination, sorting, custom query) e vendili","Pacchetto 'Spring Data Snippets', venduto a 8€","Intermedio","Java, Spring","40-120€","2-3 giorni","Prodotti digitali","Sei un Spring Data expert. Scrivi 15 snippet per query comuni (pagination, sorting, custom @Query, projections, specifications). Per ognuno: codice, esempi uso, best practice. Organizza in pacchetti. Crea la pagina Gumroad: titolo ('Spring Data JPA Snippets'), descrizione, prezzo (8€), anteprima 3 snippet."
"98","Scrivi 10 guide 'Come monetizzare le tue skill di programmazione' con casi reali e monetizza","Guida 'Monetizza Skill Java', affiliate corsi","Intermedio","Java, writing","40-120€","3 giorni","Content","Sei un career monetization expert. Identifica 10 modi per monetizzare skill di programmazione (freelance, corsi, template, SaaS, consulenza). Per ognuno scrivi una guida: step, earning potenziale, esempi reali. Formato: 2500 parole, casi studio, affiliate link. Pubblica su Medium/Dev.to."
"99","Crea 20 template di developer portfolio case study e vendili","Pacchetto 'Dev Case Study Templates', venduto a 6€","Intermedio","writing","30-80€","1-2 giorni","Prodotti digitali","Sei un portfolio coach. Scrivi 20 template di case study per portfolio (feature build, bug fix, optimization, refactoring). Per ognuno: struttura (problema, soluzione, risultato), metriche, screenshot. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (6€), anteprima 3 template."
"100","Genera 15 idee di prodotti digitali basati sui tuoi progetti GitHub (es. template, tutorial, versione premium)","Template 'Roguelike Game Base', venduto a 10€","Intermedio","Java, writing","50-150€","4-6 giorni","Prodotti digitali","Sei un productizer. Analizza i tuoi progetti GitHub (gestore-spese, DrinkME, dungeon-rpg). Per ognuno identifica 3 prodotti derivati (template, tutorial, versione premium). Per ogni prodotto: cosa includi, pricing (10-20€), pagina vendita. Scegli i 3 migliori e crea la pagina Gumroad completa per ogni prodotto."
